county,office,district,party,candidate,votes
ALCONA,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,2076
ALCONA,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,3802
ALCONA,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,39
ALCONA,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,14
ALCONA,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,38
ALCONA,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,12
ALGER,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,1984
ALGER,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,2258
ALGER,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,24
ALGER,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,3
ALGER,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,48
ALGER,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,9
ALLEGAN,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,22802
ALLEGAN,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,33590
ALLEGAN,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,218
ALLEGAN,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,134
ALLEGAN,Governor 4 Year Term (1) Position,,NPA,Michael David Kelley,1
ALLEGAN,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,537
ALLEGAN,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,60
ALPENA,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,5779
ALPENA,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,7920
ALPENA,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,73
ALPENA,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,37
ALPENA,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,143
ALPENA,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,28
ANTRIM,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,5937
ANTRIM,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,7827
ANTRIM,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,65
ANTRIM,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,31
ANTRIM,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,133
ANTRIM,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,21
ARENAC,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,2709
ARENAC,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,4314
ARENAC,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,58
ARENAC,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,21
ARENAC,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,52
ARENAC,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,16
BARAGA,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,1329
BARAGA,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,2056
BARAGA,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,16
BARAGA,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,8
BARAGA,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,32
BARAGA,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,3
BARRY,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,11552
BARRY,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,18547
BARRY,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,153
BARRY,Governor 4 Year Term (1) Position,,GRN,Kevin Hogan,97
BARRY,Governor 4 Year Term (1) Position,,LIB,Mary Buzuma,304
BARRY,Governor 4 Year Term (1) Position,,NLP,Daryl M. Simpson,44
BAY,Governor 4 Year Term (1) Position,,DEM,Gretchen Whitmer,24783
BAY,Governor 4 Year Term (1) Position,,REP,Tudor M. Dixon,23448
BAY,Governor 4 Year Term (1) Position,,UST,Donna Brandenburg,269
